,genre_ids,id,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,release_month
1127,[18],360797,Das heilige Experiment,,0.6,1966-11-01,Das heilige Experiment,0.0,0,1966.0,11.0
1128,[18],386417,Das heilige Experiment,,0.6,1955-05-30,Das heilige Experiment,0.0,0,1955.0,5.0
1129,"[28, 53, 878]",19002,Darkman III: Die Darkman Die,"Darkman, needing money to continue his experiments on synthetic skin, steals a crate of cash from drug lord Peter Rooker...",5.241,1996-08-20,Darkman III: Die Darkman Die,4.5,50,1996.0,8.0
1130,[27],413100,Ouija Summoning,"Sara lived a seemingly normal life before she had a Ouija board experience that unleashed a dark spirit. The spirit wants Sara to relive it's tortured past, and compels her to commit murder towards one of her family members or loved ones. Sara resists these threats and tries to stand against the power but she's forced to either watch her loved ones die one after the other, or obey the spirit and kill only one of them herself, as the spirit had done to her own son, long before. Sara must kill only one, and face the regret and pain of committing murder, or watch everyone around her die.",1.404,2016-09-06,Ouija Summoning,4.7,11,2016.0,9.0
1131,[27],431392,Charlie Charlie,"An Eccentric haunted house owner invites a group of hapless teens to play the terrifying game known as Charlie Charlie, overnight in the many attractions his house has to offer. While the game is meant to be a mere spectacle of spooky fun, it soon turns into a true nightmare leaving the teenagers, and the owner, battling for their lives.",1.559,2016-01-01,Charlie Charlie,3.9,15,2016.0,1.0
1132,[35],8835,Legally Blonde,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde.",8.606,2001-07-13,Legally Blonde,6.4,1728,2001.0,7.0
1133,[35],10327,"Legally Blonde 2: Red, White & Blonde","After Elle Woods, the eternally perky, fashionably adventurous, famously blonde Harvard Law grad gets fired by her law firm because of her opposition to animal testing, she takes her fight to Washington. As an aide for Congresswoman Victoria Rudd, she pushes for a bill to ban testing once and for all, but it's her building's doorman who advises her on how to get her way on the Hill.",13.232,2003-07-02,"Legally Blonde 2: Red, White & Blonde",5.4,732,2003.0,7.0
1134,[35],528320,Legally Blonde 3,,1.308,2020-05-08,Legally Blonde 3,0.0,0,2020.0,5.0
1135,"[35, 10749, 10770]",492541,Legally Blonde,"Elle Woods, A Barbie Doll reaches out for her dreams of becoming a Lawyer.  An unsold television pilot created by the same people who made the movie with the same title. This was made for ABC.",0.6,2003-01-01,Legally Blonde,0.0,0,2003.0,1.0
1136,"[10402, 35]",484847,Legally Blonde: The Musical,"Legally Blonde is a musical with music and lyrics by Laurence O'Keefe and Nell Benjamin and book by Heather Hach. The story is based on the novel Legally Blonde by Amanda Brown and the 2001 film of the same name.  It tells the story of Elle Woods, a sorority girl who enrols at Harvard Law School to win back her ex-boyfriend Warner.  She discovers how her knowledge of the law can help others, and successfully defends exercise queen Brooke Wyndham in a murder trial. Throughout the show, no one has faith in Elle Woods, but she manages to surprise them when she defies expectations while staying true to herself.",0.73,2007-10-13,Legally Blonde: The Musical,6.8,4,2007.0,10.0
1137,[35],16985,Legally Blondes,"Moving from England to California, the youngest cousins of Elle Woods must defend themselves when their schools reigning forces turn on the girls and try to frame them for a crime.",7.234,2009-04-28,Legally Blondes,4.7,97,2009.0,4.0
1138,"[12, 14, 28]",121,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",30.474,2002-12-18,The Lord of the Rings: The Two Towers,8.2,12014,2002.0,12.0
1139,"[16, 10751, 14]",129,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",22.116,2001-07-20,Spirited Away,8.5,7084,2001.0,7.0
1140,[99],535075,Nippon Television Special: The Making of Spirited Away,"View this Japanese television special to get an insider's peek into Studio Ghibli during the creation of ""Spirted Away"".",0.6,2003-04-15,Nippon Television Special: The Making of Spirited Away,0.0,0,2003.0,4.0
1141,"[18, 9648, 53]",4174,Spellbound,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",7.294,1945-12-28,Spellbound,7.5,309,1945.0,12.0
1142,[99],16636,Spellbound,This documentary follows 8 teens and pre-teens as they work their way toward the finals of the Scripps Howard national spelling bee championship in Washington D.C.,4.624,2002-11-13,Spellbound,7.3,67,2002.0,11.0
1143,"[16, 14]",529334,Spellbound,A child girl must save to her older sister from her own negative thoughts.,1.4,2016-08-03,Spellbound,5.3,3,2016.0,8.0
1144,[],318707,Spellbound,"This is an Amazon Studios test movie, a rough draft of a film. Lottie loves magic more than anything in the world but when her best friend and eleven fellow royals are kidnapped by a vengeful and powerful sorceress, it's up to Lottie, a rakish bandit and a traveling salesman to rescue the princesses before the sorceress can unlock the most powerful talisman in all the land. We'd love your thoughts on this story. Let us know (and learn more about test movies) at Amazon.com/TestMovies.",0.6,2014-01-01,Spellbound,0.0,0,2014.0,1.0
1145,"[27, 18]",162247,Spellbound,"A young man's fiancé dies after contracting a terminal illness, and in his efforts to contact her he gets involved with a group of spiritualists.",0.6,1941-05-10,The Spell of Amy Nugent,0.0,0,1941.0,5.0
1146,"[27, 10749, 35]",92499,오싹한 연애,A magician meets a weird girl and offers her to work together in his magic show. It's only until a year later that he starts to know her personally and develops a feeling towards her despite her own problems.,4.007,2011-12-01,Spellbound,6.9,66,2011.0,12.0
1147,[18],427858,金融腐蝕列島〔呪縛〕,"When a major bank is caught paying off a corporate extortionist, the media and prosecutors begin to dig, breaking open a money-and-favours scandal that threatens to rock the entire structure of business and government to its core. While the bank's top executives continue to vacillate, a quartet of middle-management reformers, led by straight-arrow Kitano (Koji Yakusho), decide to stage a boardroom coup and install a new, clean management team. With the aid of a hotshot news anchor (Miho Wada) and a hard-nosed prosecutor (Kenichi Endo), heads begin to roll.",0.6,1999-09-18,Jubaku: Spellbound,5.0,2,1999.0,9.0
1148,[16],266786,Spellbound Hound,"Mr. Magoo invites a friend to his lakeside cabin, unaware that a bloodhound has pursued an escaped convict to that isolated location.",0.625,1950-03-15,Spellbound Hound,0.0,0,1950.0,3.0
1149,[14],493288,Every Witch Way: Spellbound,Every witch way like you have never seen it before all your magic comes back in this movie,0.85,2014-11-26,Every Witch Way: Spellbound,0.0,0,2014.0,11.0
1150,[],354268,2 Spellbound,experimental film by Les Leveque,0.6,1999-08-13,2 Spellbound,0.0,0,1999.0,8.0
1151,"[35, 10749, 14]",581103,Good Witch: Spellbound,"The business owners compete for the best-decorated shop. A prophecy is unearthed in the basement of City Hall; when predictions start coming true, the citizens fear it's a terrible curse. Cassie and Sam may be the key to saving their town.",0.6,2017-10-22,Good Witch: Spellbound,8.0,1,2017.0,10.0
1152,[99],480004,Guilt by Association: Psychoanalyzing 'Spellbound',Documentary on the making of Alfred Hitchcock's 'Spellbound.',0.6,2008-03-14,Guilt by Association: Psychoanalyzing 'Spellbound',0.0,0,2008.0,3.0
1153,"[18, 80]",640,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",19.442,2002-12-25,Catch Me If You Can,7.9,6918,2002.0,12.0
1154,"[28, 35, 18]",34745,Catch Me If You Can,A hotshot teenage car racer persuades the class president of a small Minnesota high school to gamble on illegal car races to raise money for their school which is facing closure.,1.4,1989-10-14,Catch Me If You Can,6.5,4,1989.0,10.0
1155,[],459682,Catch Me If You Can: Behind the Camera,A behind the scenes look at the making of Stephen Spielberg's Catch Me If You Can.,0.822,2003-05-06,Catch Me If You Can: Behind the Camera,9.5,4,2003.0,5.0
1156,"[53, 80, 10751, 10770]",107309,Deadly Game,"When a 12 year old boy (Ryan de Boer) with an attitude witnesses a mob killing, the job of protecting him falls to a down-on-his luck cop (Tim Matheson).",1.154,1998-12-11,Deadly Game,3.0,1,1998.0,12.0
1157,[99],30140,Rivers and Tides,"Portrait of Andy Goldsworthy, an artist whose specialty is ephemeral sculptures made from elements of nature.",1.123,2001-02-13,Rivers and Tides,7.4,20,2001.0,2.0
1158,"[10749, 35, 18]",7294,Mies vailla menneisyyttä,"The second part of Aki Kaurismäki's ""Finland"" trilogy, the film follows a man who arrives in Helsinki and gets beaten up so severely he develops amnesia. Unable to remember his name or anything from his past life, he cannot get a job or an apartment, so he starts living on the outskirts of the city and slowly starts putting his life back on track.",7.188,2002-03-01,The Man Without a Past,7.3,112,2002.0,3.0
1159,"[18, 10752]",423,The Pianist,"The true story of pianist Wladyslaw Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",14.659,2002-09-17,The Pianist,8.3,3748,2002.0,9.0
1160,[],476761,El pianista,"Mario Gas directed this music-themed Spanish drama set in Barcelona of the mid-'80s. When famed composer Lluis Doria (Laurent Terzieff) visits a transvestite club, he learns his lifelong friend Albert Rossell (Serge Reggiani) is the house pianist. A flashback takes the tale four decades into the past where the younger Rossell (Pere Ponce) rejoins Teresa (Paulina Galvez) after having spent years in prison for helping anti-Franco anarchists. The story continues into Paris of the '30s, the period when Doria and Rossell first met, sharing a mutual interest in music and Teresa, before civil war sent them in different directions.",0.6,1998-09-13,The Pianist,0.0,0,1998.0,9.0
1161,[],574802,The Pianist of Willesden Lane,"An expression of hope and the life-affirming power of music, The Pianist of Willesden Lane tells the true story of a young Jewish musician, who was sent from Nazi-ruled Vienna to the relative safety of London during the Blitzkrieg. In this inspirational show, piano virtuoso Mona Golabek performs some of the world’s most beautiful music as she shares her own mother’s riveting story of survival.",0.6,2012-04-01,The Pianist of Willesden Lane,0.0,0,2012.0,4.0
1162,"[18, 10749]",1791,La Pianiste,"Erika Kohut, a sexually repressed piano teacher living with her domineering mother, meets a young man who starts romantically pursuing her.",7.209,2001-07-21,The Piano Teacher,7.4,377,2001.0,7.0
1163,"[18, 53, 80]",1818,Tirez sur le pianiste,"Charlie is a former classical pianist who has changed his name and now plays jazz in a grimy Paris bar. When Charlie's brothers, Richard and Chico, surface and ask for Charlie's help while on the run from gangsters they have scammed, he aids their escape. Soon Charlie and Lena, a waitress at the same bar, face trouble when the gangsters arrive, looking for his brothers.",5.571,1960-10-21,Shoot the Piano Player,7.2,118,1960.0,10.0
1164,"[18, 10402, 10749]",10376,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",6.764,1998-10-28,The Legend of 1900,8.3,1066,1998.0,10.0
1165,[],138844,The Art of Piano - Great Pianists of 20th Century,This is a film that encapsulates the essence of a great pianistic age that married virtuosity and musicianship with the most thrilling aspect of individual showmanship.,0.6,1999-01-01,The Art of Piano - Great Pianists of 20th Century,10.0,1,1999.0,1.0
1166,"[18, 10402]",8436,La tourneuse de pages,"Mélanie Prouvost, a ten-year-old butcher's daughter, is a gifted pianist. That is why she and her parents decide that she sit for the Conservatory entrance exam. Although Mélanie is very likely to be admitted, she unfortunately gets distracted by the president of the jury's offhand attitude and she fails. Ten years later, Mélanie becomes her page turner, waiting patiently for her revenge.",4.212,2006-08-09,The Page Turner,6.7,62,2006.0,8.0
1167,[99],1430,Bowling for Columbine,"Why do 11,000 people die in America each year at the hands of gun violence? Talking heads yelling from every TV camera blame everything from Satan to video games. But are we that much different from many other countries? What sets us apart? How have we become both the master and victim of such enormous amounts of violence? This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old, Bowling for Columbine is a journey through America, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",8.304,2002-10-09,Bowling for Columbine,7.5,745,2002.0,10.0
1168,"[18, 35, 10749]",245,About a Boy,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.",8.727,2002-04-26,About a Boy,6.7,1120,2002.0,4.0
1169,[18],66046,Worried About the Boy,"In 1980 young George O'Dowd baffles his parents with his love of frocks and make-up and moves into a squat with kindred spirit Peter, who dresses as Marilyn Monroe and calls himself Marilyn. They make a splash at Steve Strange's trendy Blitz Club where George gets a job in the cloakroom but George is unlucky in his relationships with men until he meets wannabe musician Kirk. Through Kirk George meets the handsome drummer Jon Moss, on whom he develops a crush, but sacked by the Blitz and spurned by Kirk, George turns to Sex Pistols' manager Malcolm McLaren to further his music career. George's spell with McLaren's group Bow Wow Wow is short but fan Mikey North is impressed and asks George to sing in a group he is forming, where George again meets Jon. They will have an affair and the group will become the very successful Culture Club. Four years later, however, hounded by the tabloid press amid stories of his drug addiction, an unhappy George turns to Jon for advice on his future.",1.746,2010-05-16,Worried About the Boy,6.2,17,2010.0,5.0
1170,[99],526504,About a Badly Drawn Boy,"An in-depth feature film all about the boy himself Damon Gough and the legacy of his Mercury Prize winning album The Hour of Bewilderbeast, eighteen years after its original release in 2000.",0.84,2018-05-26,About a Badly Drawn Boy,0.0,0,2018.0,5.0
1171,[99],208521,Hrafnhildur- heimildarmynd um kynleiðréttingu,"The documentary ""A boy like her"" is about the Icelandic boy Halldor who believed from a young age that he was a girl. When he came to realize that his gender would not change even if he prayed and wished he soon realized that he only had two options in life - to take his own life or to undergo a sex-change. As a teenager he went through terrible periods and people around him started to ask questions about what was wrong. He did not dare to tell his parents, family and friends that he was girl. He decided to move abroad and live as a girl in foreign countries. At the age of twenty he realized he had to return home and face his past. With the population of only 320,000 people, returning home was not easy. Only about 20 Icelanders had undergone a sex-change and he wanted to become of of them",0.6,2012-08-07,A Boy Like Her: A Personal Story About an Unavoidable Journey,0.0,0,2012.0,8.0
1172,[],429172,Mad About the Boy,"This experimental Pixelvision piece explores the tenuous boundaries of gender through a series of mini-sequences, among them a group of anecdotes told by women who have been mistaken for men and a must-see synchronized barbershop scene.",0.6,1994-01-01,Mad About the Boy,0.0,0,1994.0,1.0
1173,"[27, 14]",488837,The Boy Who Left Home to Find Out About the Shivers,"An intelligent, fearless boy living in a superstitious Transylvanian village goes out into the world to figure out what everyone else is afraid of, ""the shivers"". The king hires him to rid the castle of ghosts and evil spirits.",0.6,1984-09-17,The Boy Who Left Home to Find Out About the Shivers,0.0,0,1984.0,9.0
1174,"[35, 18, 10749]",480,Monsoon Wedding,"As the romantic monsoon rains loom, the extended Verma family reunites from around the globe for a last-minute arranged marriage in New Delhi. This film traces five intersecting stories, each navigating different aspects of love as they cross boundaries of class, continent and morality.",5.328,2001-08-30,Monsoon Wedding,6.9,98,2001.0,8.0
1175,"[80, 9648, 53]",320,Insomnia,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,12.195,2002-05-24,Insomnia,6.9,2139,2002.0,5.0
1176,"[80, 18, 53]",26610,Insomnia,"Detectives Jonas and Erik are called to the midnight sun country of northern Norway to investigate a recent homicide, but their plan to arrest the killer goes awry, and Jonas mistakenly shoots Erik. The suspect escapes, and a frightened Jonas pins Erik's death on the fugitive. Jonas continues to pursue the killer as he seeks to protect himself; however, his mounting guilt and the omnipresent sun plague him with an insomnia that affects his sanity.",4.278,1997-03-14,Insomnia,6.8,78,1997.0,3.0
1177,[99],548872,失眠,"This is a surrealistic documentary with a strong format which is based on the point of view of author. Tan can't fall in sleep in the night, is that because too noisy in the world, or it's just her thoughts bothering herself? It seems life itself it's a mixture with the reality and the dreams.",0.6,2017-01-01,Insomnia,0.0,0,2017.0,1.0
1178,[],320843,Insomnia,A man is plagued with insomnia due to a recurring nightmare of his murder.,0.6,2012-12-18,Insomnia,10.0,1,2012.0,12.0
1179,[],343576,Insomnia,"In the year 1969 a man can't sleep. He thinks that some pills will fix everything, but in reality, it will only be the beginning of a long nightmare.",0.6,,Insomnia,0.0,0,,
1180,[99],120474,The Cure For Insomnia,"Not really following any standard plot structure, the film mostly consists of poet L.D. Groban reciting his own poem of 4,080 pages, inter-spliced with X-rated film footage and rock music videos.",1.373,1987-01-31,The Cure For Insomnia,4.0,1,1987.0,1.0
1181,[16],503195,Bezmiegs,"She comes at night, quiet as a cat, to take his sleep away until he feeds her. All she needs is milk brought by him somewhere between sleep and reality. Her name is Insomnia.",0.6,2004-11-11,Insomnia,0.0,0,2004.0,11.0
1182,[27],436924,Creepshow Raw: Insomnia,A child's insomnia hides a bigger secret.,0.6,,Creepshow Raw: Insomnia,0.0,0,,
1183,[],575713,Love Insomnia Night 2,,0.6,2016-05-19,Love Insomnia Night 2,0.0,0,2016.0,5.0
1184,[99],558501,Erik Skjoldbjærg and Stellan Skarsgard on 'Insomnia',Conversation between Erik Skjoldbjærg and Stellan Skarsgard on the making of the 1997 film 'Insomnia',0.6,2014-07-01,Erik Skjoldbjærg and Stellan Skarsgard on 'Insomnia',0.0,0,2014.0,7.0
1185,"[35, 27]",432212,Pine Bros. Presents: Cinema Insomnia Haunted House Special,"Host Mr Lobo investigates a real haunted house with his own hilarious group of ""Paranoid Investigators"" comprised entirely of fellow TV horror hosts. Many fun clips and horror trailers are presented.",0.6,2013-10-31,Pine Bros. Presents: Cinema Insomnia Haunted House Special,0.0,0,2013.0,10.0
1186,[35],347009,El Club de los Insomnes,Three people with insomnia get together at a supermarket where they share their experiences.,0.6,2018-06-15,The Insomnia Club,6.6,4,2018.0,6.0
1187,[18],231505,Insomniacs,"In this atmospheric, emotionally charged drama, two Londoners lose sleep but find each other.",1.389,2013-01-01,Insomniacs,0.0,0,2013.0,1.0
1188,"[10749, 35, 18]",32284,Dream for an Insomniac,"A girl with insomnia who works in a coffee house has impossibly high standards for her love and fears she will never meet a worthy man. Then in walks a new employee and they click - until she discovers he has a girlfriend. Undaunted, she moves to L.A. with a friend sure that he will dump the girlfriend and follow her. She puts all her faith in fate and hopes for the best.",1.979,1996-04-18,Dream for an Insomniac,6.0,17,1996.0,4.0
1189,[16],391767,Insomniac,Short animated film by Ryo Okawara.,0.6,2008-01-01,Insomniac,0.0,0,2008.0,1.0
1190,"[9648, 18, 80, 53]",293562,The Insomniac,"John Figg has a great career and a gorgeous fiancée. When he inherits a nice house in a quiet neighborhood, he finally starts to feel like his life is coming together. Trouble arises, however, when John's house is burglarized, and the thieves steal one of his most prized possessions.",0.84,2013-12-27,The Insomniac,4.0,1,2013.0,12.0
1191,[18],433123,Les Insomniaques,,0.6,2011-03-30,Les Insomniaques,0.0,0,2011.0,3.0
1192,"[53, 9648]",228037,The Insomniac,"A man experiences a night-time world that is part foreboding nightmare, part sexual fantasy.",0.6,1971-09-24,The Insomniac,10.0,1,1971.0,9.0
1193,[],337599,The Insomniac City Cycles,"In a bustling Tel Aviv, a man suffering from insomnia tries to remember if someone actually shot him in one the city's underground parking garages. He no longer knows what is real or a dream while the city increasingly reflects the human condition. A young woman wakes up in a hotel room in Shanghai from that dream by a mysterious phone call. A fragmented conversation with a stranger who seems to also be a lover, rolls into a dazed odyssey in what seems like another dream amidst nocturnal Shanghai.",0.6,2009-02-07,The Insomniac City Cycles,0.0,0,2009.0,2.0
1194,[35],36607,Dave Attell's Insomniac Tour: Uncensored!,"Inspired by Dave Attell's popular Comedy Central series, this concert movie deposits him and three fellow comics, including the wildly popular Dane Cook, at the House of Blues in Las Vegas to deliver some raucous and frequently funny material before an appreciative crowd. Those who know Attell's misanthropic stage persona from his series won't be disappointed by his material here, though he functions mainly as host for his three co-headliners. Rouse takes the easy route with jokes aimed straight for the heart of the rowdy audience (sex, booze, drugs), Giraldo mixes gags based around fatherhood with some political humor, while Cook, whose status has blossomed to near-superstardom thanks to tours like this, is broad and fairly foul-mouthed, but gives an engagingly manic performance, which is well received by the heavily lubricated twenty-something crowd.",0.6,2005-02-04,Dave Attell's Insomniac Tour: Uncensored!,9.0,1,2005.0,2.0
1195,"[28, 12, 16, 878, 35]",324857,Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",115.129,2018-12-07,Spider-Man: Into the Spider-Verse,8.5,2899,2018.0,12.0
1196,"[14, 28]",557,Spider-Man,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",23.627,2002-05-01,Spider-Man,7.0,9382,2002.0,5.0
1197,"[28, 12, 878, 18]",315635,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",35.767,2017-07-05,Spider-Man: Homecoming,7.4,10773,2017.0,7.0
1198,"[14, 28, 12]",559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",16.97,2007-05-01,Spider-Man 3,6.1,6761,2007.0,5.0
1199,"[28, 12, 14]",1930,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",24.661,2012-06-27,The Amazing Spider-Man,6.5,10052,2012.0,6.0
1200,"[28, 12, 878]",429617,Spider-Man: Far from Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",20.518,2019-07-03,Spider-Man: Far from Home,0.0,0,2019.0,7.0
1201,"[28, 12, 14]",102382,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",18.18,2014-04-16,The Amazing Spider-Man 2,6.4,6920,2014.0,4.0
1202,"[28, 12, 14]",558,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",8.354,2004-06-25,Spider-Man 2,6.9,7638,2004.0,6.0
1203,[35],22939,Spider-Plant Man,"Spider-Plant Man is a parody of Spider-Man, made for the Comic Relief 2005 appeal and aired on BBC One. It featured Rowan Atkinson as Peter Piper/Spider-Plant Man and Rachel Stevens as his love-interest Jane-Mary (parodying Mary-Jane Watson). Jim Broadbent also made an appearance, portraying Batman, and Tony Robinson as Robin.",2.52,2005-03-11,Spider-Plant Man,5.7,21,2005.0,3.0
1204,"[16, 28, 878, 12, 35]",569094,Spider-Man: Into the Spider-Verse Sequel,A sequel to Spider-Man: Into the Spider Verse.,2.54,,Spider-Man: Into the Spider-Verse Sequel,0.0,0,,
1205,"[878, 28, 12, 14, 10770, 80]",225914,The Amazing Spider-Man,"When an extortionist threatens to force a multi-suicide unless a huge ransom is paid, only Peter Parker can stop him with his new powers as Spider-Man.",2.701,1978-03-15,The Amazing Spider-Man,4.9,29,1978.0,3.0
1206,[28],445033,Spider-Man,Spider-man must rescue the beautiful daughter of the evil Dr. Lightning.,0.711,1969-01-01,Spider-Man,7.5,4,1969.0,1.0
1207,"[16, 12, 28]",270768,Daredevil vs. Spider-Man,Spider-Man and Daredevil team up to fight Kingpin.,1.256,1994-11-19,Daredevil vs. Spider-Man,6.0,2,1994.0,11.0
1208,"[28, 12, 80, 14, 10770]",225938,Spider-Man: The Dragon's Challenge,"Two episodes of the TV series ""Spider Man"" edited together and released as a feature.",1.504,1981-06-25,Spider-Man: The Dragon's Challenge,3.4,15,1981.0,6.0
1209,[16],50410,Spider-Man: The Venom Saga,"A space-shuttle crash-landing puts the famous web-slinger Spider-Man in contact with a living alien substance that bonds to his suit and enhances his super-powers. Unfortunately, the alien substance begins to change him and he feels the pull of evil, so discards the suit. The evil attaches itself to another host leading to an epic confrontation between good and evil.",1.675,2005-06-07,Spider-Man: The Venom Saga,6.7,16,2005.0,6.0
1210,"[28, 12, 10751, 14, 10770]",225925,Spider-Man Strikes Back,"At the New York State University, one of Peter Parker's tutors has accidentally given three students all the materials they need to create an atomic bomb. While Peter Parker tries to find out what's happened, the police suspect him of the crime, and Peter has to deal with an attractive journalist determined to get an interview with Spider-Man. Then dastardly millionaire Mr. White shows up, and will stop at nothing to get his hands on the atomic bomb. Spider-Man must defeat this scheming villain and stop him blowing up the World Trade Centre.",1.558,1978-12-21,Spider-Man Strikes Back,4.3,18,1978.0,12.0
1211,[],172799,Spiderman vs Dr. Ock,"Doctor Octavius was a brilliant scientist working on a revolutionary new invention until a laboratory accident fused a set of mechanical arms to his body and turned him into the dreaded supervillain Doctor Octopus. Now Doc Ock seeks his revenge on those who did him wrong, and there are only two men who can put an end to his plan of destruction - Spider-Man or his secret alter-ego, Peter Parker.",1.279,2004-11-03,Spider-Man vs. Doc Ock,7.0,3,2004.0,11.0
1212,[28],367940,Spider-Man Lives: A Miles Morales Story,"In the wake of Peter Parker's death, will Miles Morales find the courage to put on the mask and become Spider-Man?",1.463,2015-11-11,Spider-Man Lives: A Miles Morales Story,6.3,6,2015.0,11.0
1213,[35],467037,Jack Black: Spider-Man,,1.051,2002-06-06,Jack Black: Spider-Man,7.6,7,2002.0,6.0
1214,"[99, 10770]",228088,De Superman à Spider-Man: L'aventure des super-héros,"The historical saga of American superheroes. Born in the period between the Great Depression and the World War II to combat the hobgoblins of the modern world, these mutant human beings with superhuman powers colonized the funny papers, radio dramas, television and films, to become a truly national industry in the United States: they gave expression to the fears and obsessions of the twentieth century and bolstered American ideals.",2.293,2001-12-23,Once Upon a Time: The Super Heroes,5.3,8,2001.0,12.0
1215,"[35, 80, 18]",2757,Adaptation.,A love-lorn script writer grows increasingly desperate in his quest to adapt the book 'The Orchid Thief'.,7.922,2002-12-06,Adaptation.,7.4,1112,2002.0,12.0
1216,[],266277,Адаптация,"Where does the dividing line lie between insanity and supersensitive mentality? How should we treat people who act in a different way then we do? A young and gifted shrink sets up a group, using up-to-date and unknown methods. His idea is to socialize such people, to integrate them into a society they keep aloof from, and help them to survive.",0.6,1981-06-22,Adaptation,0.0,0,1981.0,6.0
1217,[99],584011,Adaptation Cloud,"HD Video. 5:16 Minutes, 2017  vimeo.com/248043293",0.6,2017-01-01,Adaptation Cloud,0.0,0,2017.0,1.0
