,Movie Title,Review,Number of RT Reviews,Year
366,Gloomy Sunday,84%,64,2003
367,21 Grams,80%,183,2003
368,Thirteen,81%,152,2003
369,Chaos,84%,51,2003
370,Bukowski: Born into This,84%,49,2003
371,Bad Santa,78%,217,2003
372,Stone Reader,83%,65,2003
373,Amandla! A Revolution in Four-Part Harmony,83%,63,2003
374,Open Range,79%,183,2003
375,Confessions of a Dangerous Mind,79%,164,2003
376,Chihwaseon,83%,41,2003
377,25th Hour,78%,174,2003
378,Seabiscuit,77%,202,2003
379,Step Into Liquid,81%,80,2003
380,Ghosts of the Abyss,80%,102,2003
381,Divine Intervention,81%,69,2003
382,Blue Car,80%,88,2003
383,The Cooler,77%,173,2003
384,Stoked: The Rise and Fall of Gator,81%,47,2003
385,Charlotte Sometimes,81%,43,2003
386,Mondays in the Sun (Los Lunes al sol),80%,69,2003
387,Big Fish,75%,217,2003
388,Owning Mahowny,79%,95,2003
389,The Good Thief,77%,146,2003
390,Friday Night,80%,54,2003
391,I Capture the Castle,79%,84,2003
392,Bubba Ho-Tep,78%,106,2003
393,Holes,77%,136,2003
394,The Matrix Reloaded,73%,245,2003
395,Intolerable Cruelty,75%,183,2003
396,Tupac: Resurrection,78%,89,2003
397,Peter Pan,76%,144,2003
398,House of Sand and Fog,74%,182,2003
399,Calendar Girls,75%,124,2003
400,The Incredibles,97%,240,2004
401,Sideways,96%,227,2004
402,Spider-Man 2,93%,270,2004
403,Maria Full of Grace,97%,144,2004
404,Hero,95%,205,2004
405,Moolaadé,99%,73,2004
406,The Twilight Samurai (Tasogare Seibei),99%,69,2004
407,Eternal Sunshine Of The Spotless Mind,93%,239,2004
408,Before Sunset,95%,173,2004
409,Million Dollar Baby,91%,267,2004
410,Control Room,96%,110,2004
411,Osama,96%,102,2004
412,Shaun of the Dead,92%,205,2004
413,Touching the Void,94%,140,2004
414,Born Into Brothels,95%,107,2004
415,Harry Potter and the Prisoner of Azkaban,90%,255,2004
416,Since Otar Left,96%,56,2004
417,The Return,95%,86,2004
418,Plagues & Pleasures on the Salton Sea,96%,49,2004
419,Super Size Me,92%,170,2004
420,The Story of the Weeping Camel,94%,102,2004
421,Hotel Rwanda,91%,193,2004
422,Vera Drake,92%,158,2004
423,End of the Century: The Story of the Ramones,95%,62,2004
424,Shrek 2,89%,236,2004
425,Lost Boys of Sudan,95%,44,2004
426,The Agronomist,94%,71,2004
427,Kinsey,90%,195,2004
428,Riding Giants,93%,95,2004
429,My Architect,93%,91,2004
430,Downfall (Der Untergang),91%,138,2004
431,Tarnation,92%,103,2004
432,Nobody Knows (Dare mo shiranai),92%,93,2004
433,La demoiselle d'honneur (The Bridesmaid),92%,52,2004
434,The Corporation,90%,110,2004
435,Collateral,86%,234,2004
436,House of Flying Daggers,88%,171,2004
437,"Good Bye, Lenin!",90%,108,2004
438,Kitchen Stories,91%,74,2004
439,The Aviator,86%,220,2004
440,Shaolin Soccer,90%,93,2004
441,Mean Creek,89%,124,2004
442,Metallica: Some Kind of Monster,89%,123,2004
443,My Summer of Love,90%,91,2004
444,The Woodsman,88%,130,2004
445,Garden State,86%,191,2004
446,Going Upriver: The Long War of John Kerry,89%,85,2004
447,Kill Bill: Volume 2,84%,238,2004
448,Bad Education,87%,143,2004
449,Brothers,89%,74,2004
450,Dig!,89%,74,2004
451,Donnie Darko: The Director's Cut,90%,42,2004
452,Last Life in the Universe,90%,41,2004
453,James' Journey to Jerusalem,90%,41,2004
454,Save the Green Planet,90%,40,2004
455,Guerrilla: The Taking of Patty Hearst,89%,46,2004
456,Uzak (Distant),89%,44,2004
457,3-Iron,87%,91,2004
458,Touch The Sound,88%,51,2004
459,Fahrenheit 9/11,82%,236,2004
460,Mayor of the Sunset Strip,87%,77,2004
461,Lightning in a Bottle,87%,62,2004
462,Mean Girls,83%,181,2004
463,Finding Neverland,82%,204,2004
464,In Good Company,83%,169,2004
465,Crimson Gold,86%,74,2004
466,The Sea Inside (Mar Adentro) (The Sea Within),84%,133,2004
467,The Motorcycle Diaries,83%,157,2004
468,Aileen: Life and Death of a Serial Killer,86%,59,2004
469,Bright Leaves,86%,56,2004
470,Wilbur Wants to Kill Himself,85%,79,2004
471,Hellboy,81%,200,2004
472,The Bourne Supremacy,81%,194,2004
473,Monster,81%,186,2004
474,Outfoxed: Rupert Murdoch's War on Journalism,85%,60,2004
475,The Manchurian Candidate,80%,207,2004
476,The Yes Men,84%,82,2004
477,Friday Night Lights,81%,171,2004
478,Ray,80%,201,2004
479,Red Lights,83%,87,2004
480,Miracle,80%,160,2004
481,Up and Down (Horem Pádem) (Loop the Loop),83%,66,2004
482,Somersault,83%,65,2004
483,Broadway: The Golden Age,83%,46,2004
484,Team America: World Police,77%,196,2004
485,A Very Long Engagement,78%,147,2004
486,The Saddest Music in the World,79%,102,2004
487,Two Brothers,78%,114,2004
488,Crash,74%,236,2004
489,The Machinist,77%,142,2004
490,American Experience,79%,76,2004
491,The Mother,78%,91,2004
492,Dawn of the Dead,75%,184,2004
493,Overnight,78%,77,2004
494,Tae Guk Gi: The Brotherhood of War,79%,43,2004
495,Being Julia,76%,123,2004
496,Bon Voyage,76%,97,2004
497,Harold & Kumar Go to White Castle,74%,147,2004
498,Uncovered: The War on Iraq,77%,48,2004
499,Brother to Brother,77%,43,2004
500,Murderball,98%,138,2005
501,Wallace & Gromit: The Curse of the Were-Rabbit,95%,182,2005
502,March of the Penguins,95%,182,2005
503,Enron: The Smartest Guys in the Room,97%,119,2005
504,"Good Night, And Good Luck",93%,221,2005
505,The Wild Parrots of Telegraph Hill,95%,100,2005
506,The Squid and the Whale,93%,149,2005
507,Harry Potter and the Goblet of Fire,88%,250,2005
508,Grizzly Man,92%,140,2005
509,Capote,90%,192,2005
510,Kung Fu Hustle,90%,186,2005
511,Ushpizin,94%,62,2005
512,Brokeback Mountain,87%,240,2005
513,Duma,93%,61,2005
514,Travelers and Magicians,93%,60,2005
515,A History of Violence,87%,211,2005
516,Batman Begins,84%,276,2005
517,Broken Flowers,87%,193,2005
518,Head-On,91%,86,2005
519,Ballets Russes,92%,59,2005
520,Millions,88%,161,2005
521,Caché,89%,133,2005
522,Tristram Shandy: A Cock & Bull Story,89%,129,2005
523,King Kong,84%,261,2005
524,Up for Grabs,92%,48,2005
525,Howl's Moving Castle,87%,179,2005
526,Water,90%,92,2005
527,Paradise Now,89%,101,2005
528,After Innocence,91%,47,2005
529,Pride and Prejudice,86%,173,2005
530,Junebug,87%,134,2005
531,Darwin's Nightmare,90%,52,2005
532,The 40 Year Old Virgin,85%,184,2005
533,New York Doll,90%,51,2005
534,The Cave of the Yellow Dog (Die Hohle des gelben Hundes),90%,50,2005
535,"Kiss Kiss, Bang Bang",85%,176,2005
536,Tim Burton's Corpse Bride,84%,188,2005
537,Tony Takitani,89%,53,2005
538,Walk the Line,83%,209,2005
539,Turtles Can Fly,88%,73,2005
540,The Heart of the Game,87%,99,2005
541,Look at Me,87%,99,2005
542,Charlie and the Chocolate Factory,82%,227,2005
543,Tell Them Who You Are,88%,65,2005
544,The Constant Gardener,83%,190,2005
545,Ong-Bak (Ong Bak: Muay Thai Warrior),86%,107,2005
546,Star Wars: Episode III - Revenge of the Sith,79%,292,2005
547,Serenity,83%,184,2005
548,Shake Hands with the Devil: The Journey of Romeo Dallaire,88%,49,2005
549,The Proposition,85%,124,2005
550,De Battre mon Coeur s'est Arrêté (The Beat That My Heart Skipped),86%,97,2005
551,The Syrian Bride,88%,41,2005
552,2046,85%,115,2005
553,Saving Face,86%,86,2005
554,Mysterious Skin,85%,107,2005
555,Gunner Palace,85%,105,2005
556,Mad Hot Ballroom,84%,120,2005
557,Rois et Reine (Kings and Queen),86%,57,2005
558,Cinderella Man,80%,211,2005
559,Three Times (Zui hao de shi guang),86%,51,2005
560,Hustle & Flow,82%,157,2005
561,La Moustache,86%,42,2005
562,Inside Deep Throat,83%,120,2005
563,Rize,84%,93,2005
564,The World's Fastest Indian,82%,141,2005
565,The Perfect Crime (El Crimen Perfecto)(Crimen ferpecto),85%,53,2005
566,13 Tzameti,84%,67,2005
567,De zaak Alzheimer (The Memory of a Killer),84%,67,2005
568,Sin City,77%,249,2005
569,Beyond the Gates,84%,63,2005
570,Me and You and Everyone We Know,82%,116,2005
571,Three...Extremes (Saam gaang yi),84%,61,2005
572,Aliens of the Deep,84%,61,2005
573,Red Eye,79%,191,2005
574,Munich,78%,206,2005
575,Layer Cake,80%,140,2005
576,Dear Frankie,81%,111,2005
577,Oldboy,80%,137,2005
578,Rock School,82%,77,2005
579,Lost Embrace,83%,48,2005
580,War of the Worlds,75%,257,2005
581,The Warrior,83%,42,2005
582,The Aristocrats,79%,148,2005
583,Control (Kontroll),82%,66,2005
584,Match Point,76%,215,2005
585,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",76%,214,2005
586,Keane,81%,62,2005
587,Pooh's Heffalump Movie,80%,88,2005
588,Wedding Crashers,76%,186,2005
589,CSA: The Confederate States of America,80%,66,2005
590,The Sisterhood of the Traveling Pants,77%,131,2005
591,In Her Shoes,75%,163,2005
592,Zathura,75%,158,2005
593,The Upside of Anger,74%,183,2005
594,The Beautiful Country,78%,76,2005
595,Land of the Dead,74%,176,2005
596,Syriana,73%,197,2005
597,Balzac and the Little Chinese Seamstress,77%,62,2005
598,The Holy Girl,77%,61,2005
599,The Puffy Chair,77%,52,2005
600,The Queen,97%,195,2006
601,Pan's Labyrinth,95%,229,2006
602,Casino Royale,94%,254,2006
603,Deliver Us from Evil,100%,72,2006
604,The Departed,91%,276,2006
605,Children of Men,92%,244,2006
606,The War Tapes,98%,65,2006
607,Blindsight,98%,50,2006
608,Mountain Patrol (Kekexili),98%,49,2006
609,Wordplay,95%,120,2006
610,49 Up,97%,65,2006
611,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,91%,218,2006
612,An Inconvenient Truth,93%,162,2006
613,Little Miss Sunshine,91%,212,2006
614,Letters from Iwo Jima,91%,200,2006
615,Ne le Dis à Personne (Tell No One),94%,114,2006
616,Deep Water,96%,55,2006
617,The Lives of Others,92%,158,2006
618,United 93,90%,209,2006
619,Volver,91%,168,2006
620,Offside,94%,83,2006
621,Dave Chappelle's Block Party,92%,125,2006
622,Fateless,94%,64,2006
623,Half Nelson,90%,157,2006
624,American Experience,94%,49,2006
625,The Death of Mr. Lazarescu,93%,75,2006
626,Lassie,93%,68,2006
627,Venus,89%,151,2006
628,Blame It on Fidel (La Faute a Fidel),93%,45,2006
629,The Last King of Scotland,87%,184,2006
630,Still Life (Sanxia Haoren),92%,51,2006
631,Neil Young: Heart of Gold,90%,98,2006
632,Dixie Chicks - Shut Up and Sing,89%,124,2006
633,Inside Man,86%,201,2006
634,Notes on a Scandal,87%,172,2006
635,Iraq in Fragments,91%,65,2006
636,The Devil and Daniel Johnston,89%,110,2006
637,Brand Upon the Brain!,91%,57,2006
638,Starter for 10,90%,79,2006
639,Who Killed the Electric Car?,89%,105,2006
640,Thank You for Smoking,86%,179,2006
641,Duck Season (Temporada de patos),90%,73,2006
642,Stephanie Daley,90%,50,2006
643,The Descent,85%,173,2006
644,Slither,86%,138,2006
645,Sir! No Sir!,89%,53,2006
646,The Namesake,86%,132,2006
647,Efter brylluppet (After the Wedding),87%,103,2006
648,Jesus Camp,87%,103,2006
649,Sophie Scholl: The Final Days,87%,94,2006
650,The Three Burials of Melquiades Estrada,85%,146,2006
651,Akeelah and the Bee,85%,140,2006
652,Reprise,87%,79,2006
653,Man Push Cart,88%,48,2006
654,Quinceañera,86%,95,2006
655,A Prairie Home Companion,82%,196,2006
656,L'Enfant,85%,110,2006
657,The Beauty Academy of Kabul,87%,54,2006
658,Maxed Out,87%,47,2006
659,El Aura (The Aura),87%,47,2006
660,The Ground Truth,87%,47,2006
661,The Road To Guantanamo,85%,96,2006
662,This Film Is Not Yet Rated,84%,116,2006
663,Sweet Land,85%,73,2006
664,Kráska v Nesnázích (Beauty in Trouble),86%,44,2006
665,Air Guitar Nation,85%,66,2006
666,Paprika,84%,88,2006
667,Old Joy,84%,88,2006
668,Mutual Appreciation,85%,55,2006
669,Tsotsi (Thug),82%,129,2006
670,Little Children,80%,161,2006
671,Bamako,84%,55,2006
672,Independent Lens,84%,50,2006
673,Dreamgirls,78%,206,2006
674,The Year My Parents Went on Vacation (O Ano em Que Meus Pais Saíram de Férias),83%,52,2006
675,Sketches of Frank Gehry,82%,78,2006
676,Superman Returns,75%,261,2006
677,Come Early Morning,83%,48,2006
678,Charlotte's Web,79%,146,2006
679,District B13 (Banlieue 13),80%,115,2006
680,Brick,79%,140,2006
681,Rocky Balboa,77%,180,2006
682,Priceless,81%,74,2006
683,The Prestige,76%,196,2006
684,Why We Fight,79%,112,2006
685,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,81%,59,2006
686,Riding Alone for Thousands of Miles,80%,75,2006
687,Taxidermia,81%,47,2006
688,Fong juk (Exiled),80%,64,2006
689,The Devil Wears Prada,75%,193,2006
690,V for Vendetta,73%,245,2006
691,Happy Feet,76%,165,2006
692,Transamerica,77%,138,2006
693,House of Sand,79%,70,2006
694,Cars,74%,199,2006
695,Over the Hedge,75%,170,2006
