,Title,Director,Release Date,Revenue,Writers,Rotten Tomatoes Review,Number of RT Reviews,Release Year,Genres,Average IMDB Rating,Number of IMDB Votes,Popularity,Average TMDB Rating,Number of TMDB Votes,Release Month,director0,director0,director0,director_0
1712,Finding Nemo,"['Andrew Stanton', 'Lee Unkrich']","May 30, 2003","$380,529,370","['Andrew Stanton', 'Bob Peterson', 'David Reynolds']",99%,262.0,2003.0,"Adventure,Animation,Comedy",8.1,856377.0,23.108,7.8,11118.0,5.0,"['Andrew Stanton', 'Lee Unkrich']","['Andrew Stanton', 'Lee Unkrich']","['Andrew Stanton', 'Lee Unkrich']","['Andrew Stanton', 'Lee Unkrich']"
10804,Lost In Translation,['Sofia Coppola'],"Sep 26, 2003","$44,566,004",['Sofia Coppola'],95%,228.0,2003.0,,,,,,,,['Sofia Coppola'],['Sofia Coppola'],['Sofia Coppola'],['Sofia Coppola']
1719,Capturing the Friedmans,['Andrew Jarecki'],"Jan 27, 2004","
Magnolia
",[],97%,152.0,2003.0,"Biography,Documentary",7.8,22166.0,5.727,7.4,166.0,5.0,['Andrew Jarecki'],['Andrew Jarecki'],['Andrew Jarecki'],['Andrew Jarecki']
1723,American Splendor,"['Robert Pulcini', 'Shari Springer Berman']","Aug 15, 2003","$5,977,550","['Harvey Pekar', 'Shari Springer Berman', 'Robert Pulcini']",94%,186.0,2003.0,"Biography,Comedy,Drama",7.5,45337.0,6.04,7.3,188.0,8.0,"['Robert Pulcini', 'Shari Springer Berman']","['Robert Pulcini', 'Shari Springer Berman']","['Robert Pulcini', 'Shari Springer Berman']","['Robert Pulcini', 'Shari Springer Berman']"
1724,Sweet Sixteen,['Ken Loach'],"May 16, 2003","$201,010",['Paul Laverty'],97%,88.0,2003.0,,,,3.972,7.0,85.0,5.0,['Ken Loach'],['Ken Loach'],['Ken Loach'],['Ken Loach']
1734,Raising Victor Vargas,['Peter Sollett'],"Mar 28, 2003","$1,965,981","['Peter Sollett', 'Eva Vives']",96%,109.0,2003.0,,,,1.898,7.4,24.0,5.0,['Peter Sollett'],['Peter Sollett'],['Peter Sollett'],['Peter Sollett']
1735,Bus 174,"['Felipe Lacerda', 'José Padilha']","Oct 8, 2003","$140,901",['José Padilha'],,,,,,,4.124,7.6,54.0,10.0,"['Felipe Lacerda', 'José Padilha']","['Felipe Lacerda', 'José Padilha']","['Felipe Lacerda', 'José Padilha']","['Felipe Lacerda', 'José Padilha']"
1737,Winged Migration,"['Guy Jarry', 'Jacques Cluzard', 'Jacques Cluzaud', 'Michel Debats', 'Jacques Perrin']","Apr 18, 2003","

                                85 minutes
                            
","['Guy Jarry', 'Stéphane Durand', 'Francis Roux', 'Jacques Perrin', 'Jean Dorst']",95%,133.0,2003.0,,,,4.753,7.4,78.0,12.0,"['Guy Jarry', 'Jacques Cluzard', 'Jacques Cluzaud', 'Michel Debats', 'Jacques Perrin']","['Guy Jarry', 'Jacques Cluzard', 'Jacques Cluzaud', 'Michel Debats', 'Jacques Perrin']","['Guy Jarry', 'Jacques Cluzard', 'Jacques Cluzaud', 'Michel Debats', 'Jacques Perrin']","['Guy Jarry', 'Jacques Cluzard', 'Jacques Cluzaud', 'Michel Debats', 'Jacques Perrin']"
1739,To Be and to Have,['Nicolas Philibert'],"May 1, 2008","
New Yorker Films
",[],,,,,,,2.287,7.4,46.0,5.0,['Nicolas Philibert'],['Nicolas Philibert'],['Nicolas Philibert'],['Nicolas Philibert']
1742,The Triplets of Belleville,['Sylvain Chomet'],"Nov 26, 2003","$6,798,854",['Sylvain Chomet'],94%,147.0,2003.0,"Animation,Comedy,Drama",7.8,47450.0,6.833,7.4,419.0,6.0,['Sylvain Chomet'],['Sylvain Chomet'],['Sylvain Chomet'],['Sylvain Chomet']
1743,Dirty Pretty Things,['Stephen Frears'],"Jul 18, 2003","$7,953,388",['Steven Knight'],94%,142.0,2003.0,,,,5.995,7.0,192.0,9.0,['Stephen Frears'],['Stephen Frears'],['Stephen Frears'],['Stephen Frears']
1744,Festival Express,['Bob Smeaton'],"Nov 2, 2004","

                                85 minutes
                            
",[],96%,80.0,2003.0,"Documentary,History,Music",7.6,2036.0,0.892,6.4,10.0,9.0,['Bob Smeaton'],['Bob Smeaton'],['Bob Smeaton'],['Bob Smeaton']
1745,School of Rock,['Richard Linklater'],"Oct 3, 2003","$81,200,000","['Mike White', 'Richard Linklater']",91%,196.0,2003.0,"Comedy,Music",7.1,242020.0,9.743,6.9,2809.0,10.0,['Richard Linklater'],['Richard Linklater'],['Richard Linklater'],['Richard Linklater']
1747,Los Angeles Plays Itself,['Thom Andersen'],"Jan 1, 2003","

                                169 minutes
                            
",['Thom Andersen'],96%,45.0,2003.0,"Documentary,History",8.0,1860.0,0.97,7.6,20.0,9.0,['Thom Andersen'],['Thom Andersen'],['Thom Andersen'],['Thom Andersen']
1748,Lost in La Mancha,"['Keith Fulton', 'Louis Pepe']","Jan 31, 2003","

                                93 minutes
                            
","['Louis Pepe', 'Keith Fulton']",94%,100.0,2003.0,,,,6.904,7.0,108.0,2.0,"['Keith Fulton', 'Louis Pepe']","['Keith Fulton', 'Louis Pepe']","['Keith Fulton', 'Louis Pepe']","['Keith Fulton', 'Louis Pepe']"
1750,Shattered Glass,['Billy Ray'],"Oct 31, 2003","$2,105,024",['Billy Ray'],91%,172.0,2003.0,"Drama,History",7.2,31447.0,6.449,6.8,180.0,11.0,['Billy Ray'],['Billy Ray'],['Billy Ray'],['Billy Ray']
1758,Whale Rider,['Niki Caro'],"Jun 6, 2003","$20,661,128",['Niki Caro'],91%,151.0,2003.0,,,,4.742,7.4,170.0,1.0,['Niki Caro'],['Niki Caro'],['Niki Caro'],['Niki Caro']
1761,The Man on the Train,['Patrice Leconte'],"May 9, 2003","$2,316,487",['Claude Klotz'],,,,,,,0.6,9.0,1.0,6.0,['Patrice Leconte'],['Patrice Leconte'],['Patrice Leconte'],['Patrice Leconte']
10804,Far From Heaven,['Todd Haynes'],"Apr 1, 2003","$15,900,000",['Todd Haynes'],88%,218.0,2003.0,,,,,,,,['Todd Haynes'],['Todd Haynes'],['Todd Haynes'],['Todd Haynes']
1766,In America,['Jim Sheridan'],"Apr 29, 2003","$15,323,959","['Naomi Sheridan', 'Kirsten Sheridan', 'Jim Sheridan']",89%,176.0,2003.0,,,,7.599,7.3,153.0,10.0,['Jim Sheridan'],['Jim Sheridan'],['Jim Sheridan'],['Jim Sheridan']
1786,Mystic River,['Clint Eastwood'],"Oct 8, 2003","$88,800,000",['Brian Helgeland'],88%,204.0,2003.0,"Crime,Drama,Mystery",8.0,385547.0,11.44,7.7,2875.0,10.0,['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood']
1792,Saraband,['Ingmar Bergman'],"Dec 1, 2003","$478,554",['Ingmar Bergman'],91%,85.0,2003.0,"Drama,Music",7.7,6395.0,2.405,7.0,32.0,12.0,['Ingmar Bergman'],['Ingmar Bergman'],['Ingmar Bergman'],['Ingmar Bergman']
1798,Stevie,['Steve James (II)'],"Sep 9, 2003","
Lions Gate Releasing
",[],91%,75.0,2003.0,,,,1.83,7.8,4.0,1.0,['Steve James (II)'],['Steve James (II)'],['Steve James (II)'],['Steve James (II)']
1818,28 Days Later,['Danny Boyle'],"Jun 27, 2003","$44,900,469",['Alex Garland'],86%,225.0,2003.0,,,,14.446,7.2,3142.0,10.0,['Danny Boyle'],['Danny Boyle'],['Danny Boyle'],['Danny Boyle']
1820,A Mighty Wind,['Christopher Guest'],"Apr 16, 2003","$17,475,811","['Christopher Guest', 'Eugene Levy']",87%,175.0,2003.0,"Comedy,Music",7.3,24196.0,5.642,6.9,112.0,4.0,['Christopher Guest'],['Christopher Guest'],['Christopher Guest'],['Christopher Guest']
1821,Tokyo Godfathers,"['Satoshi Kon', 'Shôgo Furuya']","Aug 30, 2003","

                                92 minutes
                            
","['Satoshi Kon', 'Keiko Nobumoto']",90%,67.0,2003.0,"Adventure,Animation,Comedy",7.9,25932.0,6.075,7.9,337.0,12.0,"['Satoshi Kon', 'Shôgo Furuya']","['Satoshi Kon', 'Shôgo Furuya']","['Satoshi Kon', 'Shôgo Furuya']","['Satoshi Kon', 'Shôgo Furuya']"
1689,Freaky Friday,['Mark Waters (VIII)'],"Aug 6, 2003","$110,180,505","['Heather Hach', 'Leslie Dixon']",87%,151.0,2003.0,"Comedy,Family,Fantasy",6.2,114142.0,11.67,6.2,1896.0,8.0,['Mark Waters (VIII)'],['Mark Waters (VIII)'],['Mark Waters (VIII)'],['Mark Waters (VIII)']
1853,In This World,['Michael Winterbottom'],"Sep 19, 2003","

                                88 minutes
                            
",['Tony Grisoni'],89%,63.0,2003.0,,,,2.347,6.9,19.0,11.0,['Michael Winterbottom'],['Michael Winterbottom'],['Michael Winterbottom'],['Michael Winterbottom']
10804,Bend It like Beckham,['Gurinder Chadha'],"Aug 1, 2003","$32,441,165","['Guljit Bindra', 'Paul Mayeda Berges', 'Gurinder Chadha']",85%,152.0,2003.0,,,,,,,,['Gurinder Chadha'],['Gurinder Chadha'],['Gurinder Chadha'],['Gurinder Chadha']
1885,Intimate Strangers,['John Llewellyn Moxey'],"Nov 11, 1977","
                        
                            MGM
                        
                    ","['Esther Shapiro', 'Richard Shapiro']",86%,104.0,2003.0,,,,2.629,7.5,5.0,10.0,['John Llewellyn Moxey'],['John Llewellyn Moxey'],['John Llewellyn Moxey'],['John Llewellyn Moxey']
1889,Elf,['Jon Favreau'],"Nov 7, 2003","$173,400,000","['David Berenbaum', 'Jon Favreau']",83%,192.0,2003.0,"Comedy,Family,Fantasy",6.9,189689.0,13.803,6.6,1888.0,10.0,['Jon Favreau'],['Jon Favreau'],['Jon Favreau'],['Jon Favreau']
1909,Funny Ha Ha,['Andrew Bujalski'],"Jan 1, 2003","

                                89 minutes
                            
",['Andrew Bujalski'],87%,39.0,2003.0,,,,1.277,6.2,12.0,9.0,['Andrew Bujalski'],['Andrew Bujalski'],['Andrew Bujalski'],['Andrew Bujalski']
1949,Pieces of April,['Peter Hedges'],"Oct 17, 2003","$2,400,000",['Peter Hedges'],84%,150.0,2003.0,"Comedy,Drama",7.1,19228.0,6.154,6.5,95.0,1.0,['Peter Hedges'],['Peter Hedges'],['Peter Hedges'],['Peter Hedges']
1950,Noi the Albino,['Dagur Kári'],"Mar 19, 2003","

                                82 minutes
                            
",['Dagur Kári'],,,,,,,3.503,6.8,48.0,2.0,['Dagur Kári'],['Dagur Kári'],['Dagur Kári'],['Dagur Kári']
1960,Ten,['Abbas Kiarostami'],"Mar 5, 2003","

                                92 minutes
                            
",['Abbas Kiarostami'],87%,52.0,2003.0,,,,0.6,0.0,0.0,9.0,['Abbas Kiarostami'],['Abbas Kiarostami'],['Abbas Kiarostami'],['Abbas Kiarostami']
1971,Matchstick Men,['Ridley Scott'],"Sep 12, 2003","$36,873,198","['Nicholas Griffin', 'Ted Griffin']",82%,186.0,2003.0,"Comedy,Crime,Drama",7.3,117354.0,11.748,7.0,818.0,9.0,['Ridley Scott'],['Ridley Scott'],['Ridley Scott'],['Ridley Scott']
1972,The Secret Lives of Dentists,['Alan Rudolph'],"Aug 1, 2003","$3,637,833",['Craig Lucas'],85%,95.0,2003.0,,,,1.588,6.6,10.0,9.0,['Alan Rudolph'],['Alan Rudolph'],['Alan Rudolph'],['Alan Rudolph']
1973,Swimming Pool,['François Ozon'],"Jul 2, 2003","$9,942,554","['Emmanuèle Bernheim', 'François Ozon']",83%,153.0,2003.0,"Crime,Drama,Mystery",6.8,39135.0,9.36,6.5,264.0,5.0,['François Ozon'],['François Ozon'],['François Ozon'],['François Ozon']
1986,A Tale of Two Sisters,['Kim Jee-woon'],"Jun 13, 2003","

                                114 minutes
                            
",['Kim Jee-woon'],85%,60.0,2003.0,"Drama,Horror,Thriller",7.2,50118.0,10.361,7.0,402.0,6.0,['Kim Jee-woon'],['Kim Jee-woon'],['Kim Jee-woon'],['Kim Jee-woon']
10804,Lilja 4-ever,['Lukas Moodysson'],"Jan 15, 2003","

                                109 minutes
                            
",['Lukas Moodysson'],84%,69.0,2003.0,,,,,,,,['Lukas Moodysson'],['Lukas Moodysson'],['Lukas Moodysson'],['Lukas Moodysson']
1999,Gloomy Sunday,['Rolf Schübel'],"Nov 14, 2003","$223,827","['Rolf Schübel', 'Ruth Toma']",84%,64.0,2003.0,,,,3.535,8.0,18.0,10.0,['Rolf Schübel'],['Rolf Schübel'],['Rolf Schübel'],['Rolf Schübel']
2000,21 Grams,['Alejandro González Iñárritu'],"Nov 21, 2003","$16,162,920","['Guillermo Arriaga', 'Guillermo Arraiga']",80%,183.0,2003.0,"Crime,Drama,Thriller",7.7,211547.0,10.602,7.3,1528.0,9.0,['Alejandro González Iñárritu'],['Alejandro González Iñárritu'],['Alejandro González Iñárritu'],['Alejandro González Iñárritu']
2001,Thirteen,['Catherine Hardwicke'],"Aug 20, 2003","$4,500,238","['Catherine Hardwicke', 'Nikki Reed']",81%,152.0,2003.0,Drama,6.8,75421.0,7.779,6.4,710.0,8.0,['Catherine Hardwicke'],['Catherine Hardwicke'],['Catherine Hardwicke'],['Catherine Hardwicke']
2042,Bad Santa,['Terry Zwigoff'],"Nov 26, 2003","

                                91 minutes
                            
","['Glenn Ficarra', 'John Requa', 'Terry Zwigoff']",78%,217.0,2003.0,"Comedy,Crime,Drama",7.1,126738.0,12.346,6.5,1096.0,11.0,['Terry Zwigoff'],['Terry Zwigoff'],['Terry Zwigoff'],['Terry Zwigoff']
2046,Stone Reader,['Mark Moskowitz'],"Jan 11, 2003","

                                145 minutes
                            
",['Mark Moskowitz'],83%,65.0,2003.0,,,,0.6,7.3,3.0,1.0,['Mark Moskowitz'],['Mark Moskowitz'],['Mark Moskowitz'],['Mark Moskowitz']
2048,Open Range,['Kevin Costner'],"Aug 15, 2003","$58,260,046",['Craig Storper'],79%,183.0,2003.0,"Action,Drama,Romance",7.5,61501.0,10.135,7.2,430.0,8.0,['Kevin Costner'],['Kevin Costner'],['Kevin Costner'],['Kevin Costner']
2050,Confessions of a Dangerous Mind,['George Clooney'],"Aug 15, 2003","

                                124 minutes
                            
",['Charlie Kaufman'],79%,164.0,2003.0,,,,7.669,6.7,490.0,12.0,['George Clooney'],['George Clooney'],['George Clooney'],['George Clooney']
10804,Chihwaseon,"['Kwon-taek Im', 'Im Kwon-Taek']","Feb 14, 2003","

                                117 minutes
                            
","['Kwon-taek Im', 'Yong-ok Kim', 'Kim Youn-Oak']",83%,41.0,2003.0,,,,,,,,"['Kwon-taek Im', 'Im Kwon-Taek']","['Kwon-taek Im', 'Im Kwon-Taek']","['Kwon-taek Im', 'Im Kwon-Taek']","['Kwon-taek Im', 'Im Kwon-Taek']"
10804,25th Hour,['Spike Lee'],"Jan 10, 2003","

                                134 minutes
                            
",['David Benioff'],78%,174.0,2003.0,,,,,,,,['Spike Lee'],['Spike Lee'],['Spike Lee'],['Spike Lee']
2051,Seabiscuit,['Gary Ross'],"Jul 25, 2003","$120,147,445",['Gary Ross'],77%,202.0,2003.0,"Drama,History,Sport",7.3,62853.0,6.262,6.9,389.0,7.0,['Gary Ross'],['Gary Ross'],['Gary Ross'],['Gary Ross']
2055,Step Into Liquid,['Dana Brown'],"Aug 8, 2003","$3,640,512",['Dana Brown'],81%,80.0,2003.0,"Documentary,Sport",7.5,2482.0,1.192,7.2,18.0,8.0,['Dana Brown'],['Dana Brown'],['Dana Brown'],['Dana Brown']
2056,Ghosts of the Abyss,['James Cameron'],"Apr 27, 2004","

                                59 minutes
                            
",[],80%,102.0,2003.0,"Documentary,Family",6.9,4672.0,4.102,7.1,57.0,4.0,['James Cameron'],['James Cameron'],['James Cameron'],['James Cameron']
2060,Blue Car,['Karen Moncrieff'],"May 2, 2003","

                                96 minutes
                            
",['Karen Moncrieff'],80%,88.0,2003.0,,,,3.87,6.6,18.0,1.0,['Karen Moncrieff'],['Karen Moncrieff'],['Karen Moncrieff'],['Karen Moncrieff']
2088,Charlotte Sometimes,['Eric Byler'],"May 2, 2003","

                                85 minutes
                            
",['Eric Byler'],81%,43.0,2003.0,,,,0.983,5.8,3.0,3.0,['Eric Byler'],['Eric Byler'],['Eric Byler'],['Eric Byler']
2089,Mondays in the Sun,['Fernando León de Aranoa'],"Jul 25, 2003","

                                113 minutes
                            
","['Ignacio del Moral', 'Fernando León de Aranoa']",,,,,,,3.995,7.1,68.0,9.0,['Fernando León de Aranoa'],['Fernando León de Aranoa'],['Fernando León de Aranoa'],['Fernando León de Aranoa']
2102,Owning Mahowny,['Richard Kwietniowski'],"May 2, 2003","$726,886","['Maurice Chauvet', 'Richard Kwietniowski']",79%,95.0,2003.0,"Crime,Drama,Thriller",7.1,11857.0,5.921,7.1,66.0,5.0,['Richard Kwietniowski'],['Richard Kwietniowski'],['Richard Kwietniowski'],['Richard Kwietniowski']
2107,Friday Night,['Claire Denis'],"May 2, 2003","

                                90 minutes
                            
","['Claire Denis', 'Emmanuèle Bernheim']",80%,54.0,2003.0,"Drama,Short",2.6,36.0,1.156,6.5,10.0,9.0,['Claire Denis'],['Claire Denis'],['Claire Denis'],['Claire Denis']
2125,I Capture the Castle,['Tim Fywell'],"Jul 11, 2003","$967,506",['Heidi Thomas'],79%,84.0,2003.0,"Drama,Romance",7.0,6503.0,3.394,7.0,37.0,5.0,['Tim Fywell'],['Tim Fywell'],['Tim Fywell'],['Tim Fywell']
10804,Bubba Ho-Tep,['Don Coscarelli'],"Oct 2, 2003","

                                92 minutes
                            
",['Don Coscarelli'],78%,106.0,2003.0,,,,,,,,['Don Coscarelli'],['Don Coscarelli'],['Don Coscarelli'],['Don Coscarelli']
2127,Holes,['Andrew Davis'],"Apr 18, 2003","$67,325,559",['Louis Sachar'],77%,136.0,2003.0,"Adventure,Comedy,Drama",7.0,69439.0,8.093,6.7,651.0,4.0,['Andrew Davis'],['Andrew Davis'],['Andrew Davis'],['Andrew Davis']
2147,The Matrix Reloaded,"['Lana Wachowski', 'Lilly Wachowski', 'The Wachowski Brothers']","May 7, 2003","$281,500,000","['Lilly Wachowski', 'Lana Wachowski']",73%,245.0,2003.0,"Action,Sci-Fi",7.2,473749.0,21.585,6.9,5477.0,5.0,"['Lana Wachowski', 'Lilly Wachowski', 'The Wachowski Brothers']","['Lana Wachowski', 'Lilly Wachowski', 'The Wachowski Brothers']","['Lana Wachowski', 'Lilly Wachowski', 'The Wachowski Brothers']","['Lana Wachowski', 'Lilly Wachowski', 'The Wachowski Brothers']"
2148,Intolerable Cruelty,['Joel Coen'],"Oct 10, 2003","$35,096,190","['Matthew Stone', 'Robert Ramsey', 'Joel Coen', 'Ethan Coen']",75%,183.0,2003.0,"Comedy,Crime,Romance",6.3,84954.0,7.574,5.8,668.0,9.0,['Joel Coen'],['Joel Coen'],['Joel Coen'],['Joel Coen']
2170,House of Sand and Fog,['Vadim Perelman'],"Dec 26, 2003","$12,924,917","['Shane Otto', 'Vadim Perelman', 'Shawn Otto']",74%,182.0,2003.0,"Crime,Drama",7.6,61443.0,7.731,7.1,320.0,12.0,['Vadim Perelman'],['Vadim Perelman'],['Vadim Perelman'],['Vadim Perelman']
2172,Calendar Girls,['Nigel Cole'],"Dec 19, 2003","$30,937,521","['Juliette Towhidi', 'Tim Firth']",75%,124.0,2003.0,"Comedy,Drama",6.9,21667.0,7.967,6.7,156.0,9.0,['Nigel Cole'],['Nigel Cole'],['Nigel Cole'],['Nigel Cole']
2181,Sideways,['Alexander Payne'],"Sep 13, 2004","$71,444,367","['Alexander Payne', 'Jim Taylor (III) ']",96%,227.0,2004.0,"Comedy,Drama,Romance",7.5,168650.0,7.155,7.1,767.0,10.0,['Alexander Payne'],['Alexander Payne'],['Alexander Payne'],['Alexander Payne']
2202,Maria Full of Grace,['Joshua Marston'],"Jul 16, 2004","$6,517,198",['Joshua Marston'],97%,144.0,2004.0,"Crime,Drama",7.5,32569.0,5.548,7.3,168.0,1.0,['Joshua Marston'],['Joshua Marston'],['Joshua Marston'],['Joshua Marston']
2203,Hero,['Yimou Zhang'],"Aug 27, 2004","$53,583,486","['Feng Li', 'Bin Wang', 'Yimou Zhang']",95%,205.0,2004.0,,,,6.847,6.3,177.0,10.0,['Yimou Zhang'],['Yimou Zhang'],['Yimou Zhang'],['Yimou Zhang']
10804,Eternal Sunshine Of The Spotless Mind,['Michel Gondry'],"Mar 19, 2004","$34,126,138",['Charlie Kaufman'],93%,239.0,2004.0,,,,,,,,['Michel Gondry'],['Michel Gondry'],['Michel Gondry'],['Michel Gondry']
2226,Before Sunset,['Richard Linklater'],"Jul 2, 2004","$5,600,000","['Richard Linklater', 'Ethan Hawke', 'Julie Delpy']",95%,173.0,2004.0,"Drama,Romance",8.1,205266.0,9.778,7.7,1326.0,2.0,['Richard Linklater'],['Richard Linklater'],['Richard Linklater'],['Richard Linklater']
2228,Million Dollar Baby,['Clint Eastwood'],"Dec 15, 2004","$100,422,786",['Paul Haggis'],91%,267.0,2004.0,"Drama,Sport",8.1,580758.0,16.198,7.9,4638.0,12.0,['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood']
2232,Control Room,['Jehane Noujaim'],"May 21, 2004","$2,222,612","['Julia Bacha', 'Jehane Noujaim']",96%,110.0,2004.0,Documentary,7.8,4913.0,1.651,7.4,27.0,1.0,['Jehane Noujaim'],['Jehane Noujaim'],['Jehane Noujaim'],['Jehane Noujaim']
2233,Osama,['Siddiq Barmak'],"Feb 6, 2004","

                                82 minutes
                            
",['Siddiq Barmak'],96%,102.0,2004.0,,,,2.015,6.9,49.0,5.0,['Siddiq Barmak'],['Siddiq Barmak'],['Siddiq Barmak'],['Siddiq Barmak']
2242,Shaun of the Dead,['Edgar Wright'],"Sep 24, 2004","$13,464,388","['Simon Pegg', 'Edgar Wright']",92%,205.0,2004.0,"Comedy,Horror",7.9,464809.0,14.798,7.6,4244.0,4.0,['Edgar Wright'],['Edgar Wright'],['Edgar Wright'],['Edgar Wright']
2243,Touching the Void,['Kevin Macdonald'],"Jun 15, 2004","

                                106 minutes
                            
",[],94%,140.0,2004.0,,,,8.175,7.7,199.0,9.0,['Kevin Macdonald'],['Kevin Macdonald'],['Kevin Macdonald'],['Kevin Macdonald']
10804,Born Into Brothels,"['Zana Briski', 'Ross Kauffman']","Dec 8, 2004","$3,370,574","['Zana Briski', 'Ross Kauffman']",95%,107.0,2004.0,,,,,,,,"['Zana Briski', 'Ross Kauffman']","['Zana Briski', 'Ross Kauffman']","['Zana Briski', 'Ross Kauffman']","['Zana Briski', 'Ross Kauffman']"
2246,Harry Potter and the Prisoner of Azkaban,['Alfonso Cuarón'],"Jun 4, 2004","$249,358,727",['Steve Kloves'],90%,255.0,2004.0,"Adventure,Family,Fantasy",7.9,482895.0,28.545,7.9,11078.0,5.0,['Alfonso Cuarón'],['Alfonso Cuarón'],['Alfonso Cuarón'],['Alfonso Cuarón']
2247,Since Otar Left,['Julie Bertuccelli'],"Apr 30, 2004","$220,305","['Julie Bertuccelli', 'Berenard Renucci', 'Roger Bohbot', 'Bernard Renucci']",96%,56.0,2004.0,,,,1.742,6.7,15.0,9.0,['Julie Bertuccelli'],['Julie Bertuccelli'],['Julie Bertuccelli'],['Julie Bertuccelli']
2250,The Return,['Andrey Zvyagintsev'],"Feb 6, 2004","

                                98 minutes
                            
","['Vladimir Moiseenko', 'Aleksandr Novototskiy']",95%,86.0,2004.0,"Action,Adventure,Animation",8.7,346.0,5.876,5.0,91.0,11.0,['Andrey Zvyagintsev'],['Andrey Zvyagintsev'],['Andrey Zvyagintsev'],['Andrey Zvyagintsev']
10804,Super Size Me,['Morgan Spurlock'],"May 7, 2004","$11,014,972",['Morgan Spurlock'],92%,170.0,2004.0,"Comedy,Documentary,Drama",7.2,95133.0,,,,,['Morgan Spurlock'],['Morgan Spurlock'],['Morgan Spurlock'],['Morgan Spurlock']
2268,The Story of the Weeping Camel,"['Luigi Farloni', 'Byambasuren Davaa', 'Luigi Falorni']","Jun 4, 2004","$1,273,397","['Luigi Farloni', 'Byambasuren Davaa', 'Luigi Falorni']",94%,102.0,2004.0,,,,3.979,7.8,53.0,6.0,"['Luigi Farloni', 'Byambasuren Davaa', 'Luigi Falorni']","['Luigi Farloni', 'Byambasuren Davaa', 'Luigi Falorni']","['Luigi Farloni', 'Byambasuren Davaa', 'Luigi Falorni']","['Luigi Farloni', 'Byambasuren Davaa', 'Luigi Falorni']"
2269,Hotel Rwanda,['Terry George'],"Dec 22, 2004","$23,472,900","['Terry George', 'Keir Pearson', 'Kier Pearson']",91%,193.0,2004.0,"Biography,Drama,History",8.1,310748.0,9.104,7.7,1359.0,9.0,['Terry George'],['Terry George'],['Terry George'],['Terry George']
2270,Vera Drake,['Mike Leigh'],"Oct 10, 2004","$3,627,889",['Mike Leigh'],92%,158.0,2004.0,"Crime,Drama",7.7,22314.0,6.922,7.2,134.0,10.0,['Mike Leigh'],['Mike Leigh'],['Mike Leigh'],['Mike Leigh']
675,Shrek 2,"['Conrad Vernon', 'Andrew Adamson', 'Kelly Asbury']","May 19, 2004","$436,471,036","['Joe Stillman', 'David N. Weiss', 'J. David Stern', 'J. David Stem', 'Andrew Adamson']",89%,236.0,2004.0,"Adventure,Animation,Comedy",7.2,376512.0,17.694,6.9,5900.0,5.0,"['Conrad Vernon', 'Andrew Adamson', 'Kelly Asbury']","['Conrad Vernon', 'Andrew Adamson', 'Kelly Asbury']","['Conrad Vernon', 'Andrew Adamson', 'Kelly Asbury']","['Conrad Vernon', 'Andrew Adamson', 'Kelly Asbury']"
2275,Lost Boys of Sudan,"['Megan Mylan', 'Jon Shenk']","Nov 2, 2004","
Shadow Distribution
",[],95%,44.0,2004.0,,,,0.6,7.7,3.0,4.0,"['Megan Mylan', 'Jon Shenk']","['Megan Mylan', 'Jon Shenk']","['Megan Mylan', 'Jon Shenk']","['Megan Mylan', 'Jon Shenk']"
2277,Kinsey,['Bill Condon'],"Nov 12, 2004","$10,214,647",['Bill Condon'],90%,195.0,2004.0,"Biography,Drama,Romance",7.1,45680.0,6.746,6.7,209.0,9.0,['Bill Condon'],['Bill Condon'],['Bill Condon'],['Bill Condon']
2283,Riding Giants,"['Stacy Peralta', 'Sam George']","Jul 9, 2004","$2,068,426","['Sam George', 'Stacy Peralta']",93%,95.0,2004.0,"Documentary,History,Sport",7.9,4146.0,2.174,8.0,25.0,7.0,"['Stacy Peralta', 'Sam George']","['Stacy Peralta', 'Sam George']","['Stacy Peralta', 'Sam George']","['Stacy Peralta', 'Sam George']"
2284,My Architect,['Nathaniel Kahn'],"Feb 20, 2004","$2,672,377",['Nathaniel Kahn'],93%,91.0,2004.0,,,,1.231,7.2,12.0,11.0,['Nathaniel Kahn'],['Nathaniel Kahn'],['Nathaniel Kahn'],['Nathaniel Kahn']
2289,Downfall,['Oliver Hirschbiegel'],"Dec 31, 2004","$5,475,810",['Bernd Eichinger'],,,,,,,0.6,0.0,0.0,1.0,['Oliver Hirschbiegel'],['Oliver Hirschbiegel'],['Oliver Hirschbiegel'],['Oliver Hirschbiegel']
2304,Tarnation,['Jonathan Caouette'],"Oct 6, 2004","$417,541",['Jonathan Caouette'],92%,103.0,2004.0,,,,4.514,7.1,34.0,10.0,['Jonathan Caouette'],['Jonathan Caouette'],['Jonathan Caouette'],['Jonathan Caouette']
2306,Nobody Knows,['Hirokazu Koreeda'],"Oct 21, 2004","$491,773",['Hirokazu Koreeda'],,,,,,,7.048,8.1,155.0,8.0,['Hirokazu Koreeda'],['Hirokazu Koreeda'],['Hirokazu Koreeda'],['Hirokazu Koreeda']
