,Title,Director,Release Date,Revenue,Writers,Rotten Tomatoes Review,Number of RT Reviews,Release Year,Genres,Average IMDB Rating,Number of IMDB Votes,Popularity,Average TMDB Rating,Number of TMDB Votes,Release Month,director0,director0,director0,director_0
160,Nurse Betty,['Neil LaBute'],"Sep 8, 2000","

                                108 minutes
                            
","['John Richards', 'James Flamberg', 'John C. Richards']",83%,131.0,2000.0,"Comedy,Crime,Drama",6.2,31752.0,6.298,6.0,185.0,9.0,['Neil LaBute'],['Neil LaBute'],['Neil LaBute'],['Neil LaBute']
181,Thirteen Days,['Roger Donaldson'],"Dec 25, 2000","

                                145 minutes
                            
",['David Self'],83%,120.0,2000.0,"Drama,History,Thriller",7.3,50372.0,7.65,7.0,309.0,12.0,['Roger Donaldson'],['Roger Donaldson'],['Roger Donaldson'],['Roger Donaldson']
10804,Chunhyangdyun,['Kwon-taek Im'],"Oct 16, 2001","
Wild Bunch
",[],86%,42.0,2000.0,,,,,,,,['Kwon-taek Im'],['Kwon-taek Im'],['Kwon-taek Im'],['Kwon-taek Im']
186,Shadow of the Vampire,['E. Elias Merhige'],"Dec 29, 2000","$7,518,962",['Steven Katz'],82%,136.0,2000.0,"Drama,Horror",6.9,37516.0,6.863,6.7,244.0,5.0,['E. Elias Merhige'],['E. Elias Merhige'],['E. Elias Merhige'],['E. Elias Merhige']
208,Wonder Boys,['Curtis Hanson'],"Nov 8, 2000","

                                112 minutes
                            
",['Steve Kloves'],82%,125.0,2000.0,"Comedy,Drama",7.4,58450.0,8.204,7.0,268.0,2.0,['Curtis Hanson'],['Curtis Hanson'],['Curtis Hanson'],['Curtis Hanson']
211,George Washington,['Buzz Kulik'],"Jan 1, 1994","
                        
                            MGM Television
                        
                    ","['Richard Fielder', 'Jon Boothe']",84%,61.0,2000.0,Drama,7.4,7165.0,3.343,6.7,52.0,10.0,['Buzz Kulik'],['Buzz Kulik'],['Buzz Kulik'],['Buzz Kulik']
10804,Merci pour le chocolat,['Claude Chabrol'],"Oct 25, 2000","

                                99 minutes
                            
",['Claude Chabrol'],84%,51.0,2000.0,,,,,,,,['Claude Chabrol'],['Claude Chabrol'],['Claude Chabrol'],['Claude Chabrol']
10804,Love and Basketball,['Gina Prince-Bythewood'],"Jan 26, 2000","

                                124 minutes
                            
",['Gina Prince-Bythewood'],82%,91.0,2000.0,,,,,,,,['Gina Prince-Bythewood'],['Gina Prince-Bythewood'],['Gina Prince-Bythewood'],['Gina Prince-Bythewood']
10804,Pollock,['Ed Harris'],"Dec 15, 2000","$7,280,174","['Barbara Turner', 'Susan J. Emshwiller', 'Susan Ernshwiller']",81%,108.0,2000.0,"Biography,Drama",7.0,25488.0,,,,,['Ed Harris'],['Ed Harris'],['Ed Harris'],['Ed Harris']
10804,Fantasia 2000,"['James Algar', 'Gaëtan Brizzi', 'Paul Brizzi', 'Hendel Butoy', 'Francis Glebas', 'Eric Goldberg', 'Don Hahn', 'Pixote Hunt']","Jun 16, 2000","

                                90 minutes
                            
","['Eric Goldberg', 'Don Hahn']",82%,82.0,2000.0,,,,,,,,"['James Algar', 'Gaëtan Brizzi', 'Paul Brizzi', 'Hendel Butoy', 'Francis Glebas', 'Eric Goldberg', 'Don Hahn', 'Pixote Hunt']","['James Algar', 'Gaëtan Brizzi', 'Paul Brizzi', 'Hendel Butoy', 'Francis Glebas', 'Eric Goldberg', 'Don Hahn', 'Pixote Hunt']","['James Algar', 'Gaëtan Brizzi', 'Paul Brizzi', 'Hendel Butoy', 'Francis Glebas', 'Eric Goldberg', 'Don Hahn', 'Pixote Hunt']","['James Algar', 'Gaëtan Brizzi', 'Paul Brizzi', 'Hendel Butoy', 'Francis Glebas', 'Eric Goldberg', 'Don Hahn', 'Pixote Hunt']"
